No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
3087    0.0357368       5    3198       166.92166      -77.488693      0.00
3089   0.00843240       5    3177       166.42409      -77.328079     10.28
3097    0.0170732       5    3226       166.81200      -77.472816      0.00
3099  0.000140111       5    3335       166.52321      -77.411697     69.91
3109    0.0622655       5    3348       166.24951      -77.488678      0.00
3112    0.0247126       5    3400       167.00154      -77.344788      0.00
3116    0.0401753       5    3430       166.13974      -77.468277      0.00
3120    0.0768589       5    3499       166.99947      -77.451385      0.00
3122    0.0848973       5    3471       166.24208      -77.318398      0.00
3124    0.0697612       5    3554       166.98837      -77.446777      0.00
3129   0.00668726       5    3592       166.47589      -77.367615     30.49
3131    0.0396159       5    3558       166.36502      -77.477127      4.37
3134    0.0353036       5    3642       166.54376      -77.377487     12.80
3145    0.0768188       5    3664       166.77057      -77.303047      0.00
3159    0.0185634       5    4998       166.65550      -77.390419     53.81
3173   0.00356052       5    2955       166.51415      -77.317879      3.16
3190    0.0249805       5    3746       166.83527      -77.338043     13.13
3223   0.00297972       5    2958       166.57021      -77.464470      6.86
3257    0.0160219       5    3153       166.18001      -77.477127      0.00
3261   0.00104249       5    3193       166.66960      -77.424927     32.46
3271    0.0265942       5    3222       166.48021      -77.325829      4.78
3276    0.0102797       5    3325       166.69577      -77.439789      8.46
3296    0.0114500       5    3453       166.56081      -77.455421     12.28
3368   0.00425482       5    3492       166.31612      -77.435486     28.29
3393   0.00326453       5    2999       167.03214      -77.378128      0.00
3405   0.00690248       5    3032       166.11372      -77.498505      0.00
3446    0.0314424       5    3222       166.63298      -77.302147      0.00
3450    0.0143697       5    3279       166.19307      -77.489922      0.00
3453    0.0495789       5    3300       166.10667      -77.446877      0.00
3462    0.0478761       5    3373       166.13225      -77.327171      0.00
3467    0.0171753       5    3489       166.45726      -77.406555      9.29
3517   0.00258743       5    3057       166.15454      -77.479538      0.00
3519   0.00266076       5    2980       166.95132      -77.333054      0.00
3523   0.00476899       5    2881       167.05487      -77.434280      0.00
3578   0.00901809       5    3168       166.85673      -77.290787      0.00
3586   0.00645256       5    3056       166.21197      -77.428162      8.13
3607    0.0145987       5    3156       166.97061      -77.482353      0.00
3618    0.0180201       5    3192       166.42824      -77.319870      3.52
3628    0.0196750       5    3224       167.05006      -77.340813      0.00
3638    0.0124746       5    3348       166.45404      -77.329575      6.41
3639    0.0154045       5    3444       166.20563      -77.389114      8.00
3645   0.00887624       5    3441       166.24246      -77.396111     15.81
3654    0.0486317       5    3361       166.85728      -77.334648      0.00
3667    0.0367531       5    3527       166.64227      -77.290825      0.00
3668    0.0217273       5    3497       166.29700      -77.398308      4.81
3669    0.0260343       5    3564       166.29289      -77.383377     14.98
3711   0.00136788       5    2942       166.17925      -77.423203      2.11
3740    0.0459072       5    4491       166.25366      -77.389091     24.88
3769  0.000872963       5    3055       166.79691      -77.401672     28.76
3784   0.00543981       5    3131       166.86533      -77.372810     20.43
3789    0.0154664       5    3236       166.50201      -77.479507      2.43
3791   0.00962832       5    3158       166.51277      -77.356079     10.43
3815    0.0287833       5    3397       166.29196      -77.404037      7.79
3818    0.0221472       5    3410       166.18574      -77.496010      0.00
3820    0.0280879       5    3360       167.01198      -77.451607      0.00
3826    0.0292015       5    3479       166.78287      -77.457153      5.33
3836   0.00287727       5    3546       166.56517      -77.395782     36.40
3839    0.0408167       5    3487       166.49753      -77.351585      0.32
3847    0.0278140       5    3664       166.71468      -77.346710     10.00
3869   0.00323466       5    2955       166.17503      -77.347267      0.92
3871   0.00134799       5    3011       166.76883      -77.321396      0.00
3872  3.43602e-05       5    2974       166.49304      -77.404892     53.30
3882  4.61672e-05       5    2903       166.57304      -77.354256     35.33
3884  0.000207217       5    2764       166.27000      -77.451508     22.15
3892    0.0232378       5    3568       166.39447      -77.354805      5.31
3903    0.0320468       5    4084       166.47517      -77.379852     17.82
3941   0.00590901       5    3226       166.51851      -77.294724      0.00
3942   0.00669177       5    3094       166.74866      -77.480309      0.00
3946    0.0104982       5    3177       166.96187      -77.350555      0.00
3947    0.0131073       5    3176       166.85138      -77.463043      0.00
3956    0.0124208       5    3131       166.17700      -77.346756      0.93
3959   0.00722809       5    3166       166.43622      -77.327637      7.40
3962    0.0129687       5    3296       166.22781      -77.381088      4.21
3974    0.0201799       5    3378       166.78456      -77.483475      0.00
3975    0.0442302       5    3391       167.00941      -77.468399      0.00
3978    0.0187983       5    3410       167.08481      -77.328697      0.00
3989    0.0158472       5    3318       166.92702      -77.404869      7.11
4028   0.00796018       5    5083       166.64092      -77.405113     65.42
4052   0.00411730       5    2913       166.21208      -77.312592      0.00
4090   0.00224378       5    2921       166.99445      -77.352364      0.00
4091   0.00231815       5    3074       166.14427      -77.306450      0.00
4096   0.00189391       5    2993       166.42912      -77.414062     16.27
4105   0.00454783       5    3006       166.64261      -77.497742      0.00
4120   0.00412885       5    3179       166.18919      -77.361244      3.56
4128   0.00667492       5    3106       166.70325      -77.322845      6.03
4132   0.00875260       5    3262       166.51392      -77.370728     13.40
4140   0.00737669       5    3283       166.36289      -77.398827     12.45
4150   0.00874028       5    3250       166.32797      -77.366379     11.47
4153    0.0377155       5    3376       166.18723      -77.321831      0.00
4154    0.0231270       5    3363       167.02646      -77.305878      0.00
4155    0.0318494       5    3417       166.22591      -77.301804      0.00
4166   0.00548480       5    3479       166.80008      -77.397903     32.22
4173   0.00488989       5    3472       166.30409      -77.338211     26.33
4198    0.0823576       5    3844       166.38977      -77.325134     13.92
4231  0.000765988       5    2760       166.68347      -77.363380      9.94
4244    0.0172182       5    3608       166.40868      -77.479332     14.84
4265   0.00357071       5    3259       166.92122      -77.458366      0.00
4304   0.00562232       5    3178       166.92122      -77.442429      0.00
4333    0.0140949       5    3208       166.33218      -77.428833     12.81
4339   0.00672894       5    3289       166.60036      -77.354721      9.90
4347    0.0173017       5    3372       166.23279      -77.433868      7.23
4358    0.0322493       5    3359       166.69156      -77.483536      0.00
4405  0.000404341       5    2947       166.70254      -77.407104     17.59
4407  0.000590395       5    2971       166.55846      -77.417542     24.44
4415  0.000871054       5    2977       166.41348      -77.436020     10.14
4420  0.000975504       5    2916       166.62878      -77.324852     13.39
4442    0.0661472       5    3842       166.76434      -77.485603      0.00
4451    0.0741024       5    5912       166.53140      -77.390373     34.44
4453    0.0499322       5    4169       166.13602      -77.488914      0.00
4464  0.000693836       5    3043       166.62254      -77.320961     12.42
4491   0.00445312       5    3066       166.24634      -77.319794      0.00
4503  4.26187e-05       5    3091       166.52469      -77.406258     64.78
4514   0.00934897       5    3249       167.08050      -77.429260      0.00
4533   0.00417671       5    3325       166.92947      -77.419281     12.52
4548    0.0430249       5    3355       166.89270      -77.465614      0.00
4549    0.0253269       5    3350       166.21706      -77.428627      8.18
4572    0.0886886       5    3665       166.65184      -77.314651      0.00
4573    0.0493234       5    3735       166.38507      -77.299126      0.00
4602   0.00183184       5    3046       166.22673      -77.325211      0.00
4638    0.0767760       5    4155       166.68178      -77.446449     11.68
4665  0.000557121       5    3090       166.24705      -77.393433     19.83
4668  0.000188196       5    3073       166.57205      -77.413216     37.28
4676   0.00319875       5    2941       166.96384      -77.495743      0.00
4679  0.000692040       5    3118       166.69719      -77.453903     26.86
4694   0.00139691       5    3113       166.53928      -77.415077     34.09
4717    0.0143432       5    3272       166.27826      -77.310059      0.00
4723    0.0417107       5    3340       166.58528      -77.495132      0.00
4732  0.000460955       5    3416       166.30699      -77.376999     54.21
4791  0.000925134       5    2961       167.03613      -77.386757      0.00
4794   0.00148898       5    2978       166.93646      -77.310616      0.00
4795  0.000937716       5    2883       166.22006      -77.445946      5.49
4816   0.00830372       5    3569       166.38441      -77.323975     10.56
4819  0.000677042       5    3548       166.61469      -77.422218     49.69
4826   0.00390804       5    3856       166.79161      -77.354462     42.88
4842    0.0502193       5    4009       166.95651      -77.432503      0.00
4849   0.00182862       5    3026       166.20552      -77.393456      6.82
4865   0.00477244       5    3089       166.71851      -77.488541      0.00
4874   0.00542830       5    3150       166.96170      -77.333603      0.00
4878   0.00376423       5    3158       166.26945      -77.477524      2.46
4909    0.0115797       5    3334       166.66763      -77.478935      3.66
4916  0.000298383       5    3366       166.57387      -77.343246     56.10
4918    0.0355220       5    3298       166.14520      -77.291199      0.00
