No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
-17634      0.16465000       5    5362       166.52395      -77.367183      0.00
-6685      0.16465000       5    6030       166.92237      -77.418611      6.00
-6635      0.16164000       4    6080       166.59666      -77.452694      3.00
-6610      0.16164000       5    5242       166.48636      -77.463975      7.00
-9980      0.16164000       5    6013       166.46994      -77.422433     15.00
-10698      0.16164000       5    6050       166.77174      -77.422883     19.00
-6654      0.16016000       5    4396       166.84032      -77.446589      6.00
-9935      0.16016000       5    5610       166.47928      -77.343600      6.00
-6698      0.16016000       5    3499       166.91983      -77.403706      7.00
-10442      0.15724000       5    5794       166.68866      -77.354972     15.00
-6589      0.15579000       3    4975       166.43558      -77.472814     37.00
-22108      0.15437000       5    5651       166.24549      -77.371231      3.00
-6664      0.15437000       5    6031       166.91545      -77.438119      4.00
-10345      0.15437000       5    4039       166.64749      -77.347514      9.00
-17555      0.15295000       5    3513       166.36426      -77.378017     13.00
-17344      0.15295000       4    5941       166.62238      -77.441617     13.00
-17372      0.15155000       4    5950       166.82924      -77.431217     24.00
-22116      0.14878000       5    5047       166.25140      -77.360656      4.00
-10022      0.14878000       4    6121       166.47152      -77.454883      6.00
-10082      0.14742000       5    5986       166.54229      -77.338161      6.00
-9991      0.14742000       5    4519       166.46519      -77.453161     10.00
-17844      0.14473000       5    3656       166.62578      -77.344250      9.00
-10952      0.14473000       5    6073       166.90369      -77.408825     15.00
-17495      0.14340000       4    5879       166.39905      -77.390603      3.00
-17349      0.14209000       5    5872       166.77640      -77.439172     15.00
-10531      0.14078000       5    4585       166.69980      -77.414461     10.00
-10011      0.13821000       5    3968       166.46963      -77.451836      8.00
-10087      0.13821000       4    6149       166.50414      -77.453892     12.00
-10441      0.13695000       5    5493       166.68873      -77.357506      9.00
-17833      0.13569000       5    3622       166.63890      -77.345567      5.00
-10114      0.13569000       5    3520       166.55374      -77.346628     46.00
-17311      0.13445000       5    5219       166.66226      -77.456819      8.00
-6665      0.13321000       5    4855       166.73165      -77.437722      0.00
-17549      0.13321000       5    5796       166.32623      -77.378497      5.00
-10625      0.13321000       5    4747       166.75683      -77.367822     23.00
-18015      0.12840000       5    6041       166.54878      -77.326494      3.00
-10005      0.12840000       4    5653       166.51122      -77.325375      5.00
-17791      0.12722000       5    5105       166.50623      -77.350050      8.00
-10464      0.12722000       5    4429       166.69325      -77.361650     11.00
-17523      0.12605000       5    4582       166.28913      -77.383900      6.00
-17560      0.12605000       4    5007       166.43580      -77.377600     17.00
-10315      0.12605000       5    5764       166.62770      -77.372867     20.00
-17881      0.12490000       5    5147       166.37090      -77.339461      0.00
-10235      0.12490000       5    6048       166.59777      -77.358339     12.00
-6676      0.12375000       5    3396       166.88831      -77.427628      6.00
-17513      0.12262000       5    4321       166.27874      -77.385194      7.00
-10452      0.12149000       5    3224       166.70099      -77.329072      6.00
-17912      0.12149000       5    6106       166.34480      -77.336211      9.00
-10945      0.12149000       5    4444       166.90685      -77.387433     24.00
-18069      0.11928000       5    4665       166.47434      -77.320328      4.00
-9972      0.11928000       5    4754       166.45946      -77.443794      4.00
-17326      0.11603000       5    6137       166.83616      -77.451283      8.00
-9568      0.11496000       5    5610       166.29418      -77.371919     39.00
-10054      0.11496000       5    3166       166.51995      -77.362617     13.00
-9873      0.11496000       5    3476       166.42427      -77.422944     15.00
-9532      0.11391000       5    5978       166.26648      -77.394539     24.00
-17620      0.11286000       5    6097       166.31318      -77.368531     82.00
-9656      0.11286000       5    5845       166.34698      -77.355144     35.00
-6595      0.11183000       5    3412       166.77374      -77.470747      3.00
-10249      0.11080000       4    5819       166.59231      -77.387658     68.00
-17520      0.11080000       5    4628       166.38754      -77.384406      1.00
-17865      0.11080000       5    5047       166.39029      -77.341425      2.00
-6621      0.10979000       4    6067       166.60158      -77.460769      1.00
-17635      0.10680000       5    4337       166.44997      -77.366983      0.00
-10125      0.10680000       5    3489       166.56681      -77.321153     12.00
-17507      0.10582000       5    6047       166.37834      -77.386700      0.00
-9635      0.10582000       5    5608       166.32073      -77.401642     16.00
-9814      0.10582000       5    3714       166.41141      -77.377589     40.00
-17792      0.10485000       5    4665       166.41831      -77.349850      0.00
-10827      0.10485000       5    5329       166.84435      -77.375675     24.00
-9804      0.10485000       5    5782       166.40204      -77.389197     31.00
-10494      0.10388000       5    5277       166.71009      -77.342447     14.00
-10642      0.10388000       5    4301       166.74027      -77.434681     25.00
-10305      0.10388000       4    5961       166.59982      -77.444878     42.00
-9729      0.10293000       5    4117       166.37598      -77.367264     15.00
-17783      0.10293000       5    4788       166.30835      -77.350283     43.00
-17781      0.10199000       5    3411       166.39563      -77.350661      8.00
-10180      0.10199000       5    5219       166.55494      -77.423539     17.00
-17641      0.10105000       5    3614       166.27543      -77.365569      1.00
-17548      0.10105000       5    5916       166.48415      -77.378825      5.00
-10946      0.10105000       5    6080       166.90891      -77.383856     16.00
-22107      0.10013000       5    3714       166.45660      -77.375428      0.00
-17860      0.10013000       5    5700       166.43161      -77.342347      1.00
-10155      0.10013000       5    4155       166.54132      -77.442319      9.00
-10705      0.10013000       5    5546       166.77784      -77.407122     37.00
-10852      0.10013000       5    5431       166.85900      -77.374553     43.00
-17624     0.099210000       5    3947       166.46163      -77.368450      0.00
-9766     0.098300000       5    5431       166.39602      -77.371761     63.00
-17517     0.098300000       5    4097       166.45598      -77.384906      6.00
-17742     0.098300000       5    3048       166.37518      -77.353444     12.00
-9967     0.097400000       5    6075       166.47573      -77.390897      8.00
-10257     0.096510000       5    3963       166.59662      -77.383528     66.00
-17387     0.095620000       5    3815       166.91380      -77.425578     15.00
-17502     0.094740000       5    3418       166.44998      -77.387619      2.00
-17617     0.094740000       5    5060       166.26112      -77.368661      4.00
-6656     0.094740000       5    4004       166.65621      -77.444958      8.00
-9549     0.094740000       5    3664       166.26117      -77.430403     13.00
-22117     0.093880000       4    5815       166.42555      -77.358550      0.00
-9791     0.093880000       5    5408       166.39160      -77.403011      3.00
-6600     0.093010000       5    4833       166.56209      -77.469672      1.00
-17606     0.093010000       5    3632       166.36396      -77.370525      7.00
-17469     0.092160000       5    4818       166.95304      -77.397806      8.00
-9971     0.090480000       5    4095       166.45811      -77.447367     47.00
-9973     0.090480000       5    4853       166.46338      -77.431311     30.00
-6643     0.090480000       5    4384       166.51370      -77.449733      6.00
-17862     0.089650000       5    5198       166.45623      -77.342019      2.00
-10601     0.088830000       5    4155       166.75145      -77.355025     16.00
-10546     0.088830000       5    5219       166.69445      -77.457806     35.00
-10607     0.088010000       5    4754       166.73428      -77.418394     12.00
-10080     0.087210000       5    5716       166.51153      -77.430619     62.00
-10222     0.086410000       4    6080       166.56977      -77.433764     10.00
-18022     0.086410000       5    5612       166.53952      -77.325872     11.00
-10121     0.085620000       5    4212       166.56496      -77.322053     33.00
-17580     0.085620000       5    6056       166.45370      -77.373781      9.00
-6660     0.085620000       4    5007       166.89942      -77.442364     13.00
-10620     0.084830000       5    5782       166.76551      -77.329056      8.00
